title,url,difficulty,step,lecture,patterns
Cheapest flights within k stops,https://leetcode.com/problems/cheapest-flights-within-k-stops/,Hard,15,,Shortest Path
Network Delay time,https://leetcode.com/problems/network-delay-time/,Medium,15,,Shortest Path
Number of ways to arrive at destination,https://leetcode.com/problems/number-of-ways-to-arrive-at-destination/,Medium,15,,Shortest Path
Minimum steps to reach end,,Hard,15,,BFS
Bellman Ford Algorithm,,Hard,15,,Shortest Path
Floyd Warshal Algorithm,,Hard,15,,Shortest Path
Find city with minimum neighbors in a threshold distance,https://leetcode.com/problems/find-the-city-with-the-smallest-number-of-neighbors-at-a-threshold-distance/,Hard,15,,Shortest Path
Minimum Spanning Tree,,Hard,15,,MST
Prim's Algorithm,,Hard,15,,MST
Disjoint Set [Union by Rank],,Hard,15,,Union Find
Disjoint Set [Union by Size],,Hard,15,,Union Find
Kruskal's Algorithm,,Hard,15,,MST
Number of operations to make network connected,https://leetcode.com/problems/number-of-operations-to-make-network-connected/,Medium,15,,Union Find
Most stones removed with same rows or columns,https://leetcode.com/problems/most-stones-removed-with-same-row-or-column/,Medium,15,,Union Find
Accounts merge,https://leetcode.com/problems/accounts-merge/,Hard,15,,Union Find
Number of island II,https://leetcode.com/problems/number-of-islands-ii/,Hard,15,,Union Find
Making a Large Island,https://leetcode.com/problems/making-a-large-island/,Hard,15,,DFS;Union Find
Swim in rising water,https://leetcode.com/problems/swim-in-rising-water/,Hard,15,,Shortest Path
